customer_id,family_type,number_people,financial_wealth,favorite_kind_cheese,avg_cheese_consumption,stop_eating_cheese,switching_another_cheese,basic_retailer,significant_price_change,looking_cheese,sensitivity_marketing_campaign
41,одиночка,1,низкий,продукты сырные,15,да,нет,A1,20.0,нет,да
42,одиночка,1,средний,прочие сыры,15,нет,да,A1,15.0,нет,да
43,одиночка,1,средний,продукты сырные,15,да,нет,A3,20.0,да,да
44,одиночка,1,средний,прочие сыры,15,нет,да,A1,20.0,нет,да
45,одиночка,1,низкий,сыр мягкий,15,нет,нет,A3,10.0,да,нет
46,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,15.0,да,да
47,одиночка,1,низкий,сыр полутвердый,15,нет,нет,A2,7.5,да,да
48,одиночка,1,низкий,продукты сырные,15,да,нет,A1,20.0,да,нет
49,одиночка,1,низкий,сыр мягкий,15,нет,нет,A1,7.5,нет,да
50,одиночка,1,низкий,продукты сырные,15,да,нет,A1,7.5,нет,да
51,одиночка,1,низкий,продукты сырные,15,да,да,A4,7.5,да,да
52,одиночка,1,низкий,сыр твердый,15,нет,нет,A3,20.0,нет,да
53,одиночка,1,низкий,продукты сырные,15,да,нет,A1,10.0,нет,нет
54,одиночка,1,низкий,продукты сырные,15,нет,нет,A2,5.0,да,да
55,одиночка,1,низкий,сыр мягкий,15,да,нет,A2,10.0,да,да
56,одиночка,1,низкий,продукты сырные,15,нет,нет,A1,10.0,да,нет
57,одиночка,1,низкий,сыр твердый,15,да,нет,A3,7.5,нет,нет
58,одиночка,1,средний,прочие сыры,15,нет,нет,A3,20.0,да,да
59,одиночка,1,средний,сыр полутвердый,15,да,да,A1,5.0,да,да
60,одиночка,1,низкий,прочие сыры,15,да,да,A1,7.5,да,да
61,одиночка,1,средний,продукты сырные,15,нет,нет,A4,5.0,нет,да
62,одиночка,1,низкий,продукты сырные,15,да,да,A2,7.5,нет,да
63,одиночка,1,высокий,сыр твердый,15,да,нет,A1,5.0,нет,да
64,одиночка,1,низкий,сыр твердый,15,да,да,A4,10.0,нет,нет
65,одиночка,1,низкий,продукты сырные,15,да,да,A1,7.5,нет,нет
66,одиночка,1,низкий,продукты сырные,15,да,нет,A4,7.5,да,нет
67,одиночка,1,низкий,продукты сырные,15,да,нет,A5,7.5,да,да
68,одиночка,1,низкий,прочие сыры,15,нет,нет,A1,7.5,да,да
69,одиночка,1,средний,сыр твердый,15,нет,нет,A2,20.0,да,да
70,одиночка,1,средний,продукты сырные,15,нет,нет,A5,5.0,да,да
71,одиночка,1,низкий,сыр твердый,15,да,нет,A3,15.0,да,да
72,одиночка,1,средний,сыр твердый,15,да,нет,A4,10.0,да,да
73,одиночка,1,средний,сыр полутвердый,15,да,нет,A1,20.0,да,да
74,одиночка,1,низкий,прочие сыры,15,нет,нет,A3,10.0,нет,да
75,одиночка,1,высокий,сыр мягкий,15,нет,нет,A1,5.0,нет,да
76,одиночка,1,средний,сыр мягкий,15,да,нет,A2,15.0,да,да
77,одиночка,1,низкий,прочие сыры,15,нет,нет,A4,10.0,да,нет
78,одиночка,1,высокий,сыр мягкий,15,нет,нет,A3,20.0,да,да
79,одиночка,1,низкий,сыр полутвердый,15,да,нет,A5,5.0,да,да
80,одиночка,1,низкий,продукты сырные,15,да,да,A3,5.0,да,да
81,одиночка,1,низкий,продукты сырные,15,да,нет,A2,15.0,нет,да
82,одиночка,1,средний,продукты сырные,15,нет,нет,A2,15.0,да,да
83,одиночка,1,низкий,сыр полутвердый,15,нет,нет,A3,10.0,да,да
84,одиночка,1,низкий,сыр твердый,15,нет,да,A1,10.0,да,да
85,одиночка,1,низкий,сыр полутвердый,15,да,да,A3,20.0,да,да
86,одиночка,1,высокий,сыр твердый,15,да,нет,A3,10.0,да,да
87,одиночка,1,низкий,сыр твердый,15,да,нет,A1,15.0,да,да
88,одиночка,1,низкий,продукты сырные,15,да,нет,A4,10.0,да,нет
89,одиночка,1,низкий,прочие сыры,15,да,нет,A2,7.5,да,да
90,одиночка,1,низкий,прочие сыры,15,да,нет,A2,7.5,да,нет
91,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,15.0,нет,да
92,одиночка,1,низкий,продукты сырные,15,нет,да,A3,5.0,да,да
93,одиночка,1,низкий,сыр мягкий,15,да,нет,A4,5.0,нет,нет
94,одиночка,1,низкий,сыр твердый,15,нет,нет,A1,10.0,да,да
95,одиночка,1,средний,прочие сыры,15,да,да,A4,15.0,да,да
96,одиночка,1,низкий,сыр твердый,15,да,нет,A1,20.0,да,нет
97,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,15.0,нет,да
98,одиночка,1,средний,сыр твердый,15,да,да,A2,10.0,нет,да
99,одиночка,1,высокий,прочие сыры,15,да,нет,A3,5.0,да,да
100,одиночка,1,низкий,сыр полутвердый,15,нет,да,A1,20.0,нет,да
101,одиночка,1,низкий,сыр мягкий,15,нет,нет,A1,15.0,да,нет
102,одиночка,1,низкий,сыр мягкий,15,да,да,A4,10.0,нет,да
103,одиночка,1,низкий,продукты сырные,15,да,да,A1,20.0,да,да
104,одиночка,1,средний,прочие сыры,15,нет,нет,A1,20.0,нет,нет
105,одиночка,1,средний,сыр твердый,15,нет,да,A1,15.0,да,да
106,одиночка,1,низкий,продукты сырные,15,нет,нет,A2,5.0,да,нет
107,одиночка,1,низкий,сыр мягкий,15,нет,нет,A4,5.0,да,да
108,одиночка,1,низкий,продукты сырные,15,да,нет,A4,10.0,нет,да
109,одиночка,1,низкий,сыр полутвердый,15,да,да,A2,5.0,да,да
110,одиночка,1,средний,сыр мягкий,15,нет,нет,A1,5.0,нет,да
111,одиночка,1,низкий,прочие сыры,15,да,да,A1,15.0,да,да
112,одиночка,1,низкий,прочие сыры,15,да,нет,A1,5.0,да,да
113,одиночка,1,низкий,сыр твердый,15,да,нет,A1,15.0,да,нет
114,одиночка,1,средний,продукты сырные,15,да,да,A4,15.0,да,да
115,одиночка,1,средний,сыр полутвердый,15,да,нет,A4,20.0,да,да
116,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,10.0,да,да
117,одиночка,1,средний,сыр полутвердый,15,да,нет,A2,5.0,да,да
118,одиночка,1,средний,сыр полутвердый,15,нет,да,A2,5.0,нет,да
119,одиночка,1,низкий,продукты сырные,15,да,нет,A4,15.0,да,нет
120,одиночка,1,низкий,сыр мягкий,15,нет,да,A2,20.0,да,нет
121,одиночка,1,средний,сыр твердый,15,нет,да,A1,5.0,нет,да
122,одиночка,1,высокий,сыр твердый,15,да,нет,A2,20.0,да,нет
123,одиночка,1,средний,сыр твердый,15,да,да,A3,7.5,да,нет
124,одиночка,1,высокий,сыр твердый,15,да,нет,A1,7.5,да,да
125,одиночка,1,высокий,сыр мягкий,15,да,нет,A1,7.5,да,да
126,одиночка,1,низкий,продукты сырные,15,да,да,A1,10.0,да,да
127,одиночка,1,низкий,прочие сыры,15,да,нет,A4,15.0,да,да
128,одиночка,1,высокий,сыр твердый,15,да,нет,A1,10.0,да,да
129,одиночка,1,средний,сыр мягкий,15,нет,нет,A1,10.0,да,да
130,одиночка,1,низкий,продукты сырные,15,нет,да,A2,10.0,да,нет
131,одиночка,1,средний,прочие сыры,15,нет,нет,A4,10.0,да,да
132,одиночка,1,высокий,сыр мягкий,15,да,да,A5,7.5,да,да
133,одиночка,1,средний,прочие сыры,15,да,нет,A1,5.0,да,да
134,одиночка,1,средний,сыр твердый,15,нет,нет,A2,10.0,нет,да
135,одиночка,1,средний,продукты сырные,15,да,да,A2,7.5,нет,да
136,одиночка,1,низкий,прочие сыры,15,нет,да,A1,5.0,да,да
137,одиночка,1,средний,сыр твердый,15,нет,да,A1,10.0,да,нет
138,одиночка,1,высокий,сыр мягкий,15,да,нет,A2,10.0,да,да
139,одиночка,1,средний,сыр мягкий,15,да,нет,A1,10.0,нет,нет
140,одиночка,1,низкий,сыр твердый,15,да,нет,A2,7.5,да,да
141,одиночка,1,низкий,прочие сыры,15,да,нет,A2,20.0,да,да
142,одиночка,1,средний,сыр полутвердый,15,да,нет,A4,7.5,да,да
143,одиночка,1,средний,сыр твердый,15,да,нет,A1,10.0,нет,нет
144,одиночка,1,средний,сыр твердый,15,да,да,A1,10.0,нет,нет
145,одиночка,1,низкий,прочие сыры,15,да,нет,A5,15.0,нет,да
146,одиночка,1,высокий,сыр мягкий,15,да,нет,A4,5.0,да,да
147,одиночка,1,средний,сыр твердый,15,да,нет,A2,10.0,нет,нет
148,одиночка,1,низкий,продукты сырные,15,нет,да,A3,20.0,да,да
149,одиночка,1,средний,продукты сырные,15,да,да,A4,5.0,нет,да
150,одиночка,1,низкий,сыр твердый,15,да,нет,A3,5.0,да,нет
151,одиночка,1,низкий,сыр твердый,15,да,нет,A1,10.0,нет,да
152,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,20.0,нет,да
153,одиночка,1,средний,сыр твердый,15,нет,нет,A4,10.0,да,да
154,одиночка,1,низкий,сыр полутвердый,15,да,нет,A3,15.0,да,да
155,одиночка,1,средний,продукты сырные,15,да,нет,A1,10.0,да,да
156,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,15.0,да,да
157,одиночка,1,низкий,сыр мягкий,15,да,да,A1,5.0,да,нет
158,одиночка,1,низкий,сыр мягкий,15,нет,нет,A1,10.0,да,да
159,одиночка,1,средний,продукты сырные,15,да,нет,A4,7.5,нет,да
160,одиночка,1,низкий,сыр мягкий,15,нет,нет,A3,7.5,да,да
161,одиночка,1,низкий,прочие сыры,15,да,нет,A2,20.0,да,да
162,одиночка,1,высокий,прочие сыры,15,да,нет,A3,7.5,да,нет
163,одиночка,1,низкий,сыр полутвердый,15,да,нет,A1,15.0,да,да
164,одиночка,1,низкий,сыр твердый,15,да,нет,A4,7.5,да,нет
165,одиночка,1,низкий,продукты сырные,15,да,да,A1,15.0,да,да
166,одиночка,1,высокий,сыр полутвердый,15,да,да,A3,10.0,да,да
167,одиночка,1,высокий,прочие сыры,15,да,нет,A3,20.0,нет,да
168,одиночка,1,низкий,продукты сырные,15,да,нет,A4,20.0,нет,нет
169,одиночка,1,высокий,прочие сыры,15,нет,нет,A3,20.0,да,да
170,одиночка,1,низкий,сыр мягкий,15,нет,нет,A2,20.0,нет,да
171,одиночка,1,средний,сыр мягкий,15,да,нет,A3,20.0,нет,нет
172,одиночка,1,низкий,сыр мягкий,15,нет,нет,A1,5.0,да,да
173,одиночка,1,низкий,сыр твердый,15,нет,да,A5,7.5,нет,нет
174,одиночка,1,низкий,прочие сыры,15,да,да,A3,7.5,да,да
175,одиночка,1,низкий,сыр полутвердый,15,нет,нет,A1,20.0,да,нет
176,одиночка,1,средний,прочие сыры,15,да,нет,A3,10.0,нет,нет
177,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,5.0,да,да
178,одиночка,1,низкий,сыр твердый,15,да,да,A4,10.0,да,да
179,одиночка,1,низкий,сыр мягкий,15,да,нет,A3,7.5,да,нет
180,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,7.5,да,да
181,одиночка,1,средний,продукты сырные,15,да,да,A1,10.0,да,да
182,одиночка,1,низкий,прочие сыры,15,нет,нет,A3,20.0,да,да
183,одиночка,1,высокий,сыр мягкий,15,да,да,A3,15.0,да,да
184,одиночка,1,низкий,сыр твердый,15,да,нет,A3,10.0,да,да
185,одиночка,1,средний,прочие сыры,15,да,нет,A1,20.0,да,нет
186,одиночка,1,низкий,продукты сырные,15,нет,да,A4,5.0,да,нет
187,одиночка,1,средний,сыр полутвердый,15,нет,нет,A3,20.0,да,да
188,одиночка,1,средний,прочие сыры,15,нет,нет,A1,10.0,да,нет
189,одиночка,1,средний,продукты сырные,15,да,нет,A4,5.0,да,да
190,одиночка,1,высокий,сыр твердый,15,да,да,A1,15.0,нет,да
191,одиночка,1,низкий,сыр твердый,15,да,да,A2,7.5,нет,да
192,одиночка,1,низкий,продукты сырные,15,да,нет,A4,15.0,нет,да
193,одиночка,1,средний,продукты сырные,15,нет,нет,A4,7.5,да,да
194,одиночка,1,низкий,сыр мягкий,15,да,да,A1,7.5,да,да
195,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,20.0,да,да
196,одиночка,1,средний,сыр полутвердый,15,нет,да,A5,20.0,нет,да
197,одиночка,1,средний,сыр полутвердый,15,да,нет,A3,7.5,да,да
198,одиночка,1,высокий,сыр твердый,15,да,нет,A2,20.0,нет,да
199,одиночка,1,низкий,сыр мягкий,15,нет,нет,A2,20.0,да,да
200,одиночка,1,высокий,прочие сыры,15,да,да,A3,20.0,нет,да
201,одиночка,1,низкий,сыр твердый,15,да,нет,A1,20.0,да,да
202,одиночка,1,средний,продукты сырные,15,да,нет,A1,20.0,да,да
203,одиночка,1,средний,сыр полутвердый,15,да,да,A3,20.0,да,да
204,одиночка,1,средний,сыр полутвердый,15,да,нет,A3,5.0,да,да
205,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,7.5,нет,да
206,одиночка,1,средний,сыр твердый,15,да,нет,A4,7.5,да,да
207,одиночка,1,средний,сыр твердый,15,да,нет,A1,5.0,да,да
208,одиночка,1,низкий,продукты сырные,15,да,да,A1,20.0,да,да
209,одиночка,1,низкий,сыр твердый,15,да,да,A3,10.0,да,да
210,одиночка,1,низкий,сыр мягкий,15,да,да,A3,20.0,нет,нет
211,одиночка,1,низкий,сыр полутвердый,15,да,да,A2,10.0,нет,да
212,одиночка,1,средний,сыр твердый,15,да,нет,A1,15.0,да,да
213,одиночка,1,низкий,сыр твердый,15,да,нет,A2,15.0,да,да
214,одиночка,1,низкий,сыр твердый,15,да,нет,A2,15.0,да,да
215,одиночка,1,средний,сыр твердый,15,да,да,A3,20.0,да,нет
216,одиночка,1,средний,продукты сырные,15,нет,да,A1,5.0,нет,да
217,одиночка,1,средний,сыр мягкий,15,нет,да,A5,5.0,да,нет
218,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,15.0,нет,да
219,одиночка,1,средний,продукты сырные,15,нет,да,A4,7.5,нет,да
220,одиночка,1,высокий,сыр твердый,15,да,да,A2,15.0,нет,нет
221,одиночка,1,низкий,прочие сыры,15,нет,нет,A1,5.0,да,да
222,одиночка,1,низкий,сыр твердый,15,да,да,A5,10.0,да,нет
223,одиночка,1,средний,сыр твердый,15,да,нет,A5,7.5,нет,да
224,одиночка,1,низкий,сыр полутвердый,15,нет,да,A2,10.0,да,да
225,одиночка,1,средний,продукты сырные,15,нет,да,A2,5.0,нет,да
226,одиночка,1,высокий,прочие сыры,15,да,да,A1,20.0,да,да
227,одиночка,1,низкий,сыр твердый,15,да,да,A1,20.0,да,да
228,одиночка,1,низкий,продукты сырные,15,да,нет,A1,5.0,нет,да
229,одиночка,1,высокий,сыр твердый,15,нет,нет,A4,10.0,нет,нет
230,одиночка,1,низкий,сыр полутвердый,15,да,нет,A4,7.5,нет,да
231,одиночка,1,средний,сыр мягкий,15,нет,нет,A2,7.5,нет,да
232,одиночка,1,низкий,сыр мягкий,15,нет,да,A2,5.0,да,да
233,одиночка,1,средний,сыр твердый,15,да,нет,A4,15.0,да,да
234,одиночка,1,низкий,сыр твердый,15,да,нет,A4,7.5,нет,нет
235,одиночка,1,низкий,продукты сырные,15,да,да,A1,7.5,да,да
236,одиночка,1,низкий,прочие сыры,15,нет,да,A2,7.5,да,нет
237,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,5.0,нет,да
238,одиночка,1,низкий,сыр твердый,15,да,нет,A2,5.0,нет,да
239,одиночка,1,низкий,прочие сыры,15,да,нет,A1,5.0,нет,да
240,одиночка,1,средний,сыр твердый,15,нет,нет,A4,15.0,да,да
241,одиночка,1,низкий,прочие сыры,15,нет,да,A4,10.0,да,да
242,одиночка,1,низкий,прочие сыры,15,да,да,A2,10.0,да,да
243,одиночка,1,низкий,сыр твердый,15,да,нет,A3,10.0,да,да
244,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,10.0,нет,да
245,одиночка,1,средний,прочие сыры,15,да,да,A1,20.0,нет,да
246,одиночка,1,средний,прочие сыры,15,да,да,A1,20.0,да,да
247,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,10.0,да,да
248,одиночка,1,низкий,продукты сырные,15,да,нет,A3,10.0,да,да
249,одиночка,1,низкий,продукты сырные,15,нет,нет,A1,15.0,да,да
250,одиночка,1,средний,сыр полутвердый,15,да,нет,A3,5.0,да,да
251,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,15.0,нет,да
252,одиночка,1,низкий,сыр полутвердый,15,да,нет,A3,20.0,да,да
253,одиночка,1,низкий,сыр полутвердый,15,да,да,A1,5.0,нет,да
254,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,10.0,да,да
255,одиночка,1,средний,сыр твердый,15,да,нет,A5,15.0,да,да
256,одиночка,1,средний,сыр полутвердый,15,да,нет,A2,20.0,да,да
257,одиночка,1,низкий,сыр твердый,15,да,нет,A4,10.0,да,да
258,одиночка,1,низкий,сыр полутвердый,15,нет,нет,A4,7.5,да,да
259,одиночка,1,низкий,сыр мягкий,15,да,да,A2,15.0,нет,да
260,одиночка,1,низкий,сыр твердый,15,да,нет,A2,15.0,да,да
261,одиночка,1,высокий,сыр мягкий,15,да,нет,A2,15.0,да,да
262,одиночка,1,низкий,сыр твердый,15,нет,нет,A2,5.0,да,да
263,одиночка,1,низкий,сыр твердый,15,да,да,A1,20.0,да,нет
264,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,7.5,да,да
265,одиночка,1,высокий,сыр мягкий,15,нет,нет,A1,5.0,да,нет
266,одиночка,1,средний,прочие сыры,15,да,да,A3,10.0,да,да
267,одиночка,1,высокий,прочие сыры,15,нет,да,A2,15.0,да,да
268,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,15.0,нет,да
269,одиночка,1,высокий,сыр твердый,15,да,да,A1,20.0,да,нет
270,одиночка,1,высокий,сыр твердый,15,да,да,A4,7.5,нет,да
271,одиночка,1,низкий,сыр мягкий,15,да,нет,A5,20.0,да,да
272,одиночка,1,средний,сыр твердый,15,да,да,A5,5.0,нет,да
273,одиночка,1,низкий,прочие сыры,15,да,да,A3,10.0,да,нет
274,одиночка,1,низкий,сыр полутвердый,15,да,нет,A5,15.0,да,нет
275,одиночка,1,низкий,сыр твердый,15,да,да,A5,10.0,нет,да
276,одиночка,1,низкий,сыр твердый,15,да,нет,A1,20.0,да,да
277,одиночка,1,низкий,прочие сыры,15,да,да,A2,20.0,да,да
278,одиночка,1,высокий,сыр твердый,15,да,нет,A4,7.5,да,да
279,одиночка,1,низкий,прочие сыры,15,да,нет,A4,5.0,нет,нет
280,одиночка,1,высокий,сыр мягкий,15,нет,нет,A1,15.0,нет,да
281,одиночка,1,средний,продукты сырные,15,нет,нет,A5,5.0,да,да
282,одиночка,1,низкий,продукты сырные,15,нет,да,A5,20.0,да,да
283,одиночка,1,низкий,прочие сыры,15,нет,да,A4,10.0,нет,да
284,одиночка,1,средний,прочие сыры,15,да,нет,A2,5.0,да,да
285,одиночка,1,средний,продукты сырные,15,нет,нет,A2,7.5,нет,да
286,одиночка,1,низкий,продукты сырные,15,да,да,A3,20.0,да,нет
287,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,20.0,да,да
288,одиночка,1,низкий,продукты сырные,15,да,да,A2,15.0,да,да
289,одиночка,1,средний,прочие сыры,15,да,нет,A4,15.0,да,да
290,одиночка,1,низкий,сыр мягкий,15,да,нет,A3,20.0,да,да
291,одиночка,1,средний,сыр мягкий,15,да,нет,A2,5.0,да,да
292,одиночка,1,низкий,сыр твердый,15,да,да,A2,10.0,нет,да
293,одиночка,1,средний,сыр полутвердый,15,да,нет,A1,20.0,да,да
294,одиночка,1,низкий,продукты сырные,15,да,нет,A2,7.5,нет,да
295,одиночка,1,низкий,сыр мягкий,15,да,нет,A3,20.0,да,да
296,одиночка,1,средний,сыр полутвердый,15,да,да,A4,15.0,да,да
297,одиночка,1,низкий,прочие сыры,15,да,да,A1,20.0,нет,да
298,одиночка,1,средний,сыр мягкий,15,нет,нет,A1,7.5,нет,да
299,одиночка,1,низкий,продукты сырные,15,да,нет,A2,20.0,да,да
300,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,20.0,нет,да
301,одиночка,1,низкий,продукты сырные,15,нет,да,A1,20.0,да,да
302,одиночка,1,средний,сыр твердый,15,да,нет,A2,10.0,да,да
303,одиночка,1,средний,прочие сыры,15,да,нет,A1,7.5,да,да
304,одиночка,1,низкий,продукты сырные,15,нет,нет,A3,20.0,да,нет
305,одиночка,1,низкий,сыр мягкий,15,да,нет,A4,5.0,да,да
306,одиночка,1,низкий,прочие сыры,15,да,да,A1,5.0,да,да
307,одиночка,1,средний,прочие сыры,15,да,нет,A4,10.0,нет,нет
308,одиночка,1,средний,сыр полутвердый,15,нет,да,A1,10.0,нет,нет
309,одиночка,1,средний,сыр мягкий,15,да,да,A1,10.0,нет,нет
310,одиночка,1,средний,сыр полутвердый,15,да,нет,A3,7.5,да,да
311,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,10.0,нет,да
312,одиночка,1,средний,прочие сыры,15,нет,нет,A2,20.0,да,нет
313,одиночка,1,низкий,сыр твердый,15,нет,нет,A4,5.0,да,да
314,одиночка,1,высокий,сыр полутвердый,15,нет,нет,A4,10.0,да,да
315,одиночка,1,средний,прочие сыры,15,да,нет,A1,7.5,нет,да
316,одиночка,1,низкий,сыр мягкий,15,да,нет,A2,7.5,нет,да
317,одиночка,1,средний,сыр твердый,15,нет,да,A3,15.0,нет,да
318,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,5.0,нет,нет
319,одиночка,1,средний,сыр твердый,15,нет,да,A3,7.5,да,нет
320,одиночка,1,низкий,сыр твердый,15,нет,нет,A2,10.0,да,да
321,одиночка,1,низкий,сыр твердый,15,да,нет,A1,10.0,нет,нет
322,одиночка,1,низкий,сыр полутвердый,15,да,нет,A1,15.0,да,да
323,одиночка,1,средний,сыр твердый,15,да,нет,A1,5.0,да,нет
324,одиночка,1,низкий,сыр твердый,15,да,нет,A3,20.0,да,да
325,одиночка,1,низкий,сыр полутвердый,15,да,да,A2,20.0,да,нет
326,одиночка,1,средний,сыр твердый,15,да,нет,A4,7.5,нет,да
327,одиночка,1,низкий,сыр мягкий,15,нет,да,A4,15.0,да,да
328,одиночка,1,низкий,прочие сыры,15,да,нет,A4,20.0,да,да
329,одиночка,1,средний,прочие сыры,15,нет,нет,A2,20.0,да,да
330,одиночка,1,высокий,прочие сыры,15,да,нет,A3,5.0,да,да
331,одиночка,1,низкий,прочие сыры,15,да,нет,A1,15.0,нет,да
332,одиночка,1,средний,сыр твердый,15,нет,нет,A4,15.0,да,да
333,одиночка,1,низкий,сыр полутвердый,15,да,да,A1,15.0,нет,да
334,одиночка,1,средний,сыр мягкий,15,нет,нет,A1,10.0,да,да
335,одиночка,1,низкий,прочие сыры,15,нет,нет,A3,20.0,да,нет
336,одиночка,1,высокий,сыр твердый,15,да,нет,A1,15.0,да,да
337,одиночка,1,низкий,продукты сырные,15,да,да,A4,15.0,нет,да
338,одиночка,1,низкий,продукты сырные,15,да,нет,A2,15.0,да,да
339,одиночка,1,высокий,сыр твердый,15,да,нет,A1,5.0,да,нет
340,одиночка,1,низкий,прочие сыры,15,да,нет,A2,15.0,да,да
341,одиночка,1,высокий,сыр мягкий,15,да,нет,A4,10.0,да,да
342,одиночка,1,низкий,сыр мягкий,15,да,да,A4,10.0,да,нет
343,одиночка,1,средний,продукты сырные,15,да,нет,A3,20.0,да,да
344,одиночка,1,низкий,сыр полутвердый,15,да,да,A4,20.0,да,да
345,одиночка,1,низкий,сыр твердый,15,да,да,A3,15.0,да,да
346,одиночка,1,средний,продукты сырные,15,да,нет,A3,5.0,да,нет
347,одиночка,1,высокий,сыр мягкий,15,да,нет,A1,5.0,да,да
348,одиночка,1,средний,продукты сырные,15,да,нет,A5,5.0,да,да
349,одиночка,1,средний,сыр полутвердый,15,да,нет,A5,20.0,да,да
350,одиночка,1,низкий,сыр твердый,15,да,нет,A3,15.0,да,да
351,одиночка,1,средний,сыр мягкий,15,да,нет,A3,15.0,да,нет
352,одиночка,1,низкий,сыр мягкий,15,нет,нет,A2,5.0,да,да
353,одиночка,1,средний,сыр полутвердый,15,нет,нет,A3,20.0,нет,да
354,одиночка,1,низкий,прочие сыры,15,да,нет,A3,5.0,да,да
355,одиночка,1,высокий,сыр твердый,15,нет,нет,A1,5.0,да,да
356,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,7.5,нет,да
